name,email count,total score,average score,color,department
Esther,247,-22,-0.12,#E9D460,Administrative
Kathleen,4179,144,0.45,#E9D460,Administrative
Richard,1618,40,0.35,#E9D460,Administrative
Yap,6324,64,0.48,#E9D460,Administrative
Adesh,15442,188,0.16,#c6dbef,C-Suite
Manish,26274,85,0.52,#c6dbef,C-Suite
Steve,13390,64,0.7,#c6dbef,C-Suite
Gabrielle,212,36,0.46,#86E2D5,Intern
Neha,214,75,0.38,#86E2D5,Intern
Ridwan,707,-27,-0.25,#86E2D5,Intern
Roshan,108,67,0.45,#86E2D5,Intern
Sandra,2868,1,0.01,#86E2D5,Intern
Ananya,11358,6,0.06,#fee6ce,Marketing
Dawn,2409,-18,-0.1,#fee6ce,Marketing
Elizabeth,10574,2,0.01,#fee6ce,Marketing
Malti,1437,10,0.07,#fee6ce,Marketing
Oscar,3130,53,0.38,#fee6ce,Marketing
Radha,9359,-107,-0.91,#fee6ce,Marketing
Regina,712,120,0.48,#fee6ce,Marketing
Richa,8021,46,0.34,#fee6ce,Marketing
Sahil,7858,0,0,#fee6ce,Marketing
Alistair,11559,-32,-0.21,#dadaeb,Operations
Sal,5429,18,0.41,#dadaeb,Operations
Greg,3791,67,0.74,#22313F,Product 
Dev,3704,41,0.38,#663399,Sales
Irene,1363,40,0.32,#663399,Sales
James,845,9,0.12,#663399,Sales
Jeff,1569,23,0.21,#663399,Sales
Joe,486,5,0.06,#663399,Sales
Johnny,19,139,0.44,#663399,Sales
Jonathan,34,-26,-0.15,#663399,Sales
Leslie,1065,87,0.51,#663399,Sales
Mark,11978,4,0.05,#663399,Sales
Nico,3801,12,0.05,#663399,Sales
Robert,14,20,0.32,#663399,Sales
Shams,5120,6,0.04,#663399,Sales
Simon,1801,73,0.85,#663399,Sales
Stan,494,15,0.1,#663399,Sales
Warren,8847,15,0.38,#663399,Sales
Brian,10189,43,0.22,#d9d9d9,Senior Management
Michael,5371,-9,-0.05,#d9d9d9,Senior Management
Ricardo,12248,49,0.2,#d9d9d9,Senior Management
Roland,3186,12,0.16,#d9d9d9,Senior Management
Tom,1559,73,0.05,#d9d9d9,Senior Management
Annabel,2216,-14,-0.11,#c7e9c0,Strategy
Anoshia,7080,181,0.28,#c7e9c0,Strategy
Arun,29774,-14,-0.1,#c7e9c0,Strategy
Hana,9616,64,0.3,#c7e9c0,Strategy
Kunal,16746,28,0.24,#c7e9c0,Strategy
Bryan,3585,62,0.68,#fcbba1,Technology
Gladys,667,48,0.61,#fcbba1,Technology
Graham,3648,39,0.19,#fcbba1,Technology
Hansel,692,3,0.07,#fcbba1,Technology
Karthik,1787,14,0.33,#fcbba1,Technology
Kit,4559,51,0.48,#fcbba1,Technology
Lemuel,1830,76,0.57,#fcbba1,Technology
Paolo,756,-6,-0.11,#fcbba1,Technology
Tim,8096,6,0.38,#fcbba1,Technology
